Nome: BELEM;;;;;;;;;
Codigo Estacao: 82191;;;;;;;;;
Latitude: -1.43583333;;;;;;;;;
Longitude: -48.43722221;;;;;;;;;
Altitude: 7.13;;;;;;;;;
Situacao: Operante;;;;;;;;;
Data Inicial: 1990-01-01;;;;;;;;;
Data Final: 2023-10-01;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;
;;;;;;;;;
Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(ï¿½ï;TEMPERATURA MEDIA COMPENSADA, DIARIA(ï¿½ï;TEMPERATURA MINIMA, DIARIA(ï¿½ï;UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
13/09/1990;2,7;7,7;0,1;32,3;26,02;22;82;58;1,366667
14/09/1990;3,1;8,4;0;32,6;26,26;22,2;81,5;58;1,366667
15/09/1990;2,6;8,4;0,4;31,5;25,8;21,6;85,75;71;2,066667
16/09/1990;2;8,5;5,9;31,4;25,36;21,6;83,5;65;2,033333
17/09/1990;2;7,2;10,6;32,2;25,68;22;85;70;1,5
18/09/1990;1,7;8,8;1,6;31,5;25,64;22;85;68;1,733333
19/09/1990;1,8;9,2;7,3;32,2;26,56;22;84;66;1,533333
20/09/1990;2,8;7,8;0,2;31,8;26,48;22,8;82,5;63;2,2
21/09/1990;2,2;8,7;2,6;32,3;27,42;22,2;80,75;66;1,9
22/09/1990;2,5;7,9;0;32,3;26,86;23;78;62;2,166667
23/09/1990;2,7;9,3;0;33;27,32;22,2;75,25;55;2,2
24/09/1990;3,4;7,9;0;32,1;27,02;23;77;66;2,166667
25/09/1990;2,4;9,2;11,8;32;26,6;21,4;80,25;63;1,633333
26/09/1990;2,6;10;0;32,5;26,86;21,4;77,75;59;2,1
27/09/1990;3;8,7;0;32,2;null;22,6;null;62;2,1
28/09/1990;2;7,6;4,6;32,5;26,02;22;83,5;61;2,3
29/09/1990;3;8,3;14,4;32,1;26,66;22,8;78;60;2,1
30/09/1990;3,3;9,7;0,3;31,9;26,46;21;75,5;57;2,533333
01/10/1990;3,2;10,2;0;31,9;26,54;22,4;79,75;62;2,366667
02/10/1990;3;8,3;0;31,4;26,96;23;78,25;71;3,133333
03/10/1990;2,5;8,5;1,6;31,6;26,76;22,2;73,75;58;2,033333
04/10/1990;3,6;8,4;0;31,9;26,32;22,6;79;66;2,333333
05/10/1990;2,4;7,9;0;32;27,32;23,6;78,5;66;2,033333
